股票名稱,股數,損益,買進日期,賣出日期
擎邦,"2,000",559,2024/2/15,2024/2/19
中工,"2,000",306,2024/2/19,2024/2/21
宏碁,"1,000",-31,2024/2/19,2024/2/22
南亞,"1,000","-5,215",2024/2/5,2024/3/6
南亞,"1,000","-4,013",2024/2/23,2024/3/6
華邦電,"1,000",-713,2024/3/7,2024/3/7
中工,"2,000",804,2024/2/22,2024/3/7
中工,"2,000",804,2024/2/22,2024/3/7
中工,"2,000",805,2024/2/22,2024/3/7
華孚,"1,000","2,580",2024/3/1,2024/3/7
華泰,"1,000",-749,2024/3/14,2024/3/14
華泰,"1,000",-549,2024/3/14,2024/3/14
智擎,"1,000","-7,255",2024/3/7,2024/3/14
智擎,"1,000","-6,655",2024/3/7,2024/3/14
廣運,"1,000",-679,2024/3/14,2024/3/14
神盾,"1,000","4,959",2024/3/14,2024/3/14
廣運,"1,000",200,2024/3/14,2024/3/15
jpp-KY,"1,000","-2,469",2024/3/18,2024/3/18
大聯大,"1,000",-10,2024/3/19,2024/3/19
神盾,"1,000","-2,076",2024/3/19,2024/3/19
安國,"1,000",689,2024/3/19,2024/3/19
安國,"1,000",198,2024/3/20,2024/3/20
五鼎,"1,000",72,2024/3/19,2024/3/21
安國,"1,000",187,2024/3/21,2024/3/21
神盾,"1,000",-73,2024/3/22,2024/3/22
弘憶股,"1,000","1,499",2024/3/21,2024/3/26
弘憶股,"1,000","1,700",2024/3/21,2024/3/26
弘憶股,"1,000","1,750",2024/3/21,2024/3/26
安國,"1,000","-1,500",2024/3/26,2024/3/27
安國,"1,000","-1,794",2024/3/27,2024/3/27
榮群,"1,000",-254,2024/3/27,2024/3/29
安國,"1,000","21,387",2024/3/27,2024/3/29
良維,"1,000",258,2024/3/29,2024/4/2
千興,"1,000",360,2024/4/2,2024/4/3
千興,"1,000",311,2024/4/2,2024/4/3
亞力,"1,000","1,584",2024/4/2,2024/4/8
佳世達,"1,000",150,2024/4/8,2024/4/8
佳世達,"1,000",150,2024/4/8,2024/4/8
佳世達,"1,000",151,2024/4/8,2024/4/8
佳世達,"1,000",151,2024/4/8,2024/4/8
頎邦,"1,000",-573,2024/4/8,2024/4/8
華新科,"1,000","9,560",2024/3/18,2024/4/9
英濟,"2,000",-724,2024/4/10,2024/4/10
英濟,"3,000","-1,684",2024/4/10,2024/4/10
英濟,"2,000","-2,092",2024/4/10,2024/4/11
廣運,"1,000","-1,787",2024/4/11,2024/4/11
佳世達,"1,000","-1,090",2024/4/8,2024/4/12
佳世達,"1,000",-838,2024/4/8,2024/4/12
佳世達,"1,000",-788,2024/4/8,2024/4/12
佳世達,"1,000",-833,2024/4/9,2024/4/12
佳世達,"1,000",-715,2024/4/11,2024/4/12
佳世達,"1,000",-665,2024/4/11,2024/4/12
宏碁,"1,000",-461,2024/4/12,2024/4/12
宏碁,"1,000",-261,2024/4/12,2024/4/12
藍天,"1,000","1,455",2024/4/3,2024/4/15
藍天,"1,000","1,407",2024/4/3,2024/4/15
京元電子,"1,000","-1,918",2024/4/11,2024/4/15
京元電子,"1,000","-3,406",2024/4/12,2024/4/15
京元電子,"1,000","-3,406",2024/4/12,2024/4/15
佳邦,"1,000","1,014",2024/4/9,2024/4/15
佳邦,"1,000","1,715",2024/4/9,2024/4/15
佳邦,"1,000","1,915",2024/4/9,2024/4/15
京元電子,"2,000","-5,806",2024/4/15,2024/4/16
京元電子,"1,000","-1,902",2024/4/15,2024/4/16
頎邦,"1,000",409,2024/4/3,2024/4/16
神盾,"1,000","5,427",2024/4/16,2024/4/16
安國,"1,000","1,156",2024/4/16,2024/4/16
安國,"1,000","1,150",2024/4/16,2024/4/16
安國,"1,000","-2,372",2024/4/17,2024/4/17
神盾,"1,000",-113,2024/4/18,2024/4/18
神盾,"1,000",440,2024/4/17,2024/4/18
安國,"1,000","1,092",2024/4/18,2024/4/18
宏碁,"1,000","-1,218",2024/4/18,2024/4/19
宏碁,"1,000","-1,267",2024/4/18,2024/4/19
長榮,"1,000","1,771",2024/4/17,2024/4/19
神盾,"1,000","-5,093",2024/4/19,2024/4/19
安國,"1,000","-4,374",2024/4/19,2024/4/19
安國,"1,000","-3,372",2024/4/19,2024/4/19
廣運,"4,000","11,105",2024/4/19,2024/4/22
